                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9586,                 4.3419,                 1.1751,                      0,                      0,                      0,                      0,                0.40456,                 4.1645,                0.84532,               0.003254,               0.003254,               0.003254
                      2,                 0.7784,                 4.1279,                 1.0661,                0.09622,                0.10206,                0.09352,                0.06324,                0.45498,                 3.7297,                0.84498,              0.0065866,              0.0065866,              0.0065866
                      3,                0.86043,                  3.876,                 1.0968,                0.05903,                0.48798,                 0.1374,                0.11051,                0.54719,                 3.0787,                0.85694,              0.0099187,              0.0099187,              0.0099187
                      4,                0.93704,                 3.6953,                 1.0912,                0.05356,                0.44579,                0.11005,                0.07928,                 0.7046,                 2.9583,                0.91657,               0.009997,               0.009997,               0.009997
                      5,                0.86566,                 3.5794,                 1.1233,                0.05239,                0.55338,                0.13071,                0.10838,                0.53365,                 2.8076,                0.86655,               0.009997,               0.009997,               0.009997
                      6,                0.84786,                 3.4848,                 1.0677,                0.05211,                0.65083,                0.12052,                0.10106,                0.67621,                 2.7463,                0.92613,               0.009996,               0.009996,               0.009996
                      7,                0.97271,                 3.4382,                 1.1297,                0.33449,                0.32027,                0.12972,                0.10885,                0.69707,                 2.6819,                0.94817,              0.0099951,              0.0099951,              0.0099951
                      8,                0.93995,                 3.3695,                 1.1231,                0.23221,                0.37114,                0.16718,                0.12835,                0.60428,                 2.6616,                0.90405,              0.0099941,              0.0099941,              0.0099941
                      9,                0.87417,                 3.1545,                 1.0718,                0.44543,                0.40071,                0.17275,                0.13645,                 0.7089,                 2.5971,                0.92889,              0.0099931,              0.0099931,              0.0099931
                     10,                0.93261,                 3.0206,                  1.127,                0.33771,                0.36034,                0.17837,                0.14545,                0.57791,                 2.5877,                0.88881,              0.0099921,              0.0099921,              0.0099921
                     11,                 0.8326,                  3.093,                 1.0714,                0.52621,                0.41665,                0.22351,                0.18325,                0.50389,                 2.4778,                0.86861,              0.0099911,              0.0099911,              0.0099911
                     12,                0.88003,                 3.0135,                 1.1289,                0.57359,                0.13396,                 0.2041,                0.17392,                0.56593,                 2.2742,                0.88689,              0.0099901,              0.0099901,              0.0099901
                     13,                0.90938,                  2.924,                  1.099,                  0.521,                0.21382,                0.18055,                0.15788,                0.53007,                 2.2256,                0.87581,              0.0099891,              0.0099891,              0.0099891
                     14,                0.90558,                 2.7683,                 1.0691,                0.55172,                0.27636,                 0.1766,                0.14763,                0.56355,                  2.195,                 0.8814,              0.0099881,              0.0099881,              0.0099881
                     15,                0.97004,                 2.8136,                 1.1559,                0.69483,                0.24683,                0.25069,                0.19384,                0.57132,                 1.9976,                0.88735,              0.0099871,              0.0099871,              0.0099871
                     16,                0.90797,                 2.6502,                 1.0859,                0.63393,                0.20017,                0.19872,                0.16845,                0.50713,                 1.9624,                0.87922,              0.0099861,              0.0099861,              0.0099861
                     17,                0.87115,                 2.6119,                 1.1046,                 0.5173,                0.35814,                0.25524,                0.21594,                0.50912,                 2.3552,                0.87783,              0.0099851,              0.0099851,              0.0099851
                     18,                0.91303,                 2.5176,                 1.1383,                0.80593,                0.21527,                0.29799,                0.24821,                0.49407,                   1.88,                0.87191,              0.0099842,              0.0099842,              0.0099842
                     19,                0.89702,                  2.529,                  1.107,                 0.3191,                0.28573,                 0.2415,                0.20479,                0.53523,                 2.0986,                0.87917,              0.0099832,              0.0099832,              0.0099832
                     20,                0.86666,                 2.4917,                 1.0835,                0.48671,                0.26596,                0.27929,                0.22753,                0.50606,                 1.7184,                0.87158,              0.0099822,              0.0099822,              0.0099822
                     21,                0.84164,                 2.3917,                 1.0809,                0.44044,                0.37766,                0.26104,                0.21937,                0.54151,                 1.8052,                 0.8748,              0.0099812,              0.0099812,              0.0099812
